material,facet,d_band_center_eV,DeltaG_H_eV
Ni,111,-1.32,-0.47
Ni,100,-1.28,-0.51
Co,111,-1.55,-0.49
Co,100,-1.50,-0.51
Fe,110,-1.82,-0.56
Fe,100,-1.78,-0.52
Pt,111,-2.33,-0.27
Pt,100,-2.25,-0.33
Pd,111,-2.22,-0.30
Pd,100,-2.18,-0.38
Rh,111,-2.10,-0.30
Rh,100,-2.05,-0.34
Ir,111,-2.45,-0.16
Ir,100,-2.38,-0.21
Ru,0001,-2.20,-0.30
Os,0001,-2.32,-0.55
Cu,111,-2.75,0.03
Cu,100,-2.70,-0.05
Ag,111,-3.90,0.34
Ag,100,-3.85,0.27
Au,111,-3.82,0.39
Au,100,-3.75,0.21
Mo,110,-1.92,-0.77
Mo,100,-1.88,-0.61
W,110,-2.02,-0.83
W,100,-1.98,-0.67
Re,0001,-2.10,-0.45
V,110,-1.60,-0.54
V,100,-1.58,-0.31
Ta,110,-1.75,-0.92
Ta,100,-1.70,-0.58
Nb,110,-1.65,-0.80
