Ni_frac,Fe_frac,Co_frac,Mo_frac,Cu_frac,d_band_proxy,DeltaG_H_eV
1,0,0,0,0,8.0,-0.47
0,1,0,0,0,6.0,-0.56
0,0,1,0,0,7.0,-0.49
0,0,0,1,0,5.0,-0.77
0,0,0,0,1,10.0,0.03
0.5,0.5,0,0,0,7.0,-0.52
0.5,0,0.5,0,0,7.5,-0.50
0.5,0,0,0.5,0,6.5,-0.60
0.5,0,0,0,0.5,9.0,-0.10
0,0.5,0.5,0,0,6.5,-0.53
0,0.5,0,0.5,0,5.5,-0.65
0,0,0.5,0.5,0,6.0,-0.58
0.33,0.33,0.34,0,0,7.0,-0.48
0.33,0.33,0,0.34,0,6.3,-0.55
0.33,0,0.33,0.34,0,6.5,-0.54
0.25,0.25,0.25,0.25,0,6.5,-0.55
0.25,0.25,0,0.25,0.25,7.3,-0.30
0.25,0,0.25,0.25,0.25,7.5,-0.32
0,0.25,0.25,0.25,0.25,7.0,-0.35
0.4,0.2,0.2,0.2,0,6.8,-0.50
0.2,0.4,0.2,0.2,0,6.2,-0.58
0.2,0.2,0.4,0.2,0,6.7,-0.52
0.2,0.2,0.2,0.4,0,5.8,-0.65
0.6,0.2,0.2,0,0,7.4,-0.45
0.6,0,0.2,0.2,0,6.9,-0.48
0.6,0,0,0.2,0.2,8.2,-0.20
