Ni_frac,Fe_frac,Co_frac,Cu_frac,Mo_frac,Mn_frac,Cr_frac,V_frac
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.012,0.988,0.0,0.0,0.0,0.0
0.0,0.0,0.025,0.975,0.0,0.0,0.0,0.0
0.0,0.0,0.038,0.962,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0
0.0,0.0,0.062,0.938,0.0,0.0,0.0,0.0
0.0,0.0,0.075,0.925,0.0,0.0,0.0,0.0
0.0,0.0,0.088,0.912,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0
0.0,0.0,0.112,0.888,0.0,0.0,0.0,0.0
0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0
0.0,0.0,0.138,0.862,0.0,0.0,0.0,0.0
0.0,0.0,0.15,0.85,0.0,0.0,0.0,0.0
0.0,0.0,0.162,0.838,0.0,0.0,0.0,0.0
0.0,0.0,0.175,0.825,0.0,0.0,0.0,0.0
0.0,0.0,0.188,0.812,0.0,0.0,0.0,0.0
0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0
0.0,0.0,0.213,0.788,0.0,0.0,0.0,0.0
0.0,0.0,0.225,0.775,0.0,0.0,0.0,0.0
0.0,0.0,0.238,0.762,0.0,0.0,0.0,0.0
0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0
0.0,0.0,0.262,0.738,0.0,0.0,0.0,0.0
0.0,0.0,0.275,0.725,0.0,0.0,0.0,0.0
0.0,0.0,0.288,0.712,0.0,0.0,0.0,0.0
0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0
0.0,0.0,0.312,0.688,0.0,0.0,0.0,0.0
0.0,0.0,0.325,0.675,0.0,0.0,0.0,0.0
0.0,0.0,0.338,0.662,0.0,0.0,0.0,0.0
0.0,0.0,0.35,0.65,0.0,0.0,0.0,0.0
0.0,0.0,0.363,0.638,0.0,0.0,0.0,0.0
0.0,0.0,0.375,0.625,0.0,0.0,0.0,0.0
0.0,0.0,0.388,0.612,0.0,0.0,0.0,0.0
